Estado,State,Medio,Media Outlet,Ciudad,City,Dirección,Zip Code,Latitud,Longitud,Formato,Format,Idioma,Language,Contenido,Content,Web,Año de fundación ,Dueño/Tipo de propiedad,Owner/Type of Ownership,Audiencia/circulación,Audience/circulation,Fuentes de ingresos,Sources of Revenue,Número de empleados/Number of employees,Frecuencia,Frequency,Facebook,Twitter,Instagram,YouTube,Otra red social
Iowa,Iowa,La Voz de Iowa,La Voz de Iowa,Storm Lake,Storm Lake,525 Erie St.,50588,42.643924,-95.199351,Periódico,Newspaper,Español,Spanish,,,http://lavozdeiowa.com/,,,,,,,,,,,https://www.facebook.com/La-Voz-de-Iowa-115718328515812/,,,,
Iowa,Iowa,Conexión Latina,Conexión Latina,Des Moines,Des Moines,"615 East 14th St., Suite 5",50316,41.595322,-93.598306,Periódico,Newspaper,Español,Spanish,,,https://conexionlatinaiowa.com/,,,,,,,,,,,https://www.facebook.com/periodicoconexionlatina/,,,,
Iowa,Iowa,Viva Iowa,Viva Iowa,Hampton,Hampton,9 Second Street NW,50441,42.74209,-93.209569,Periódico,Newspaper,Español,Spanish,"Noticias, Deportes","News, Sports",http://www.vivaiowa.com/,2015,Afiliada o subsidiaria local de una corporación nacional,Local affiliate or subsidiary of a national corporation,Impreso: -5.000,Print: -5.000,Publicidad,Advertising,1-5,Bisemanal,Bi-weekly,https://www.facebook.com/vivaiowa/,,,,
Iowa,Iowa,Hola Iowa,Hola Iowa,Des Moines,Des Moines,PO Box 8188,50301,41.5860273,-93.669256,Periódico,Newspaper,Español/Inglés,Spanish/English,"Noticias, Arte y Cultura,  Entretenimiento, Deportes, Comentario","News, Arts and Culture,  Entertainment, Sports, Commentary",http://www.HolaIowa.com,2014,Medio local independiente,Local independent media,"Impreso: 10,000 - 19,999. Web: 1,000","Print: 10,000 - 19,999. Web: 1,000",Publicidad,Advertising,1-6,Bisemanal,Bi-weekly,https://www.facebook.com/HolaAmericaNews,https://twitter.com/HolaAmericaNews,https://www.instagram.com/HOLAAMERICA/,,
Iowa,Iowa,La Prensa (de Iowa),La Prensa (de Iowa),Denison,Denison,1305 Broadway,51442,42.01668,-95.354908,Periódico,Newspaper,Español,Spanish,,,http://laprensaiowa.blogspot.com/,,,,,,,,,,,https://www.facebook.com/Laprensaiowa/,,,,
Iowa,Iowa,El Trueque,El Trueque,North Liberty,North Liberty,265 Juniper Ct,52317,41.741596,-91.594186,Web,Web-only,Español,Spanish,"Noticias, Arte y Cultura, Entretenimiento, Comentario","News, Arts and Culture, Entertainment, Commentary",http://www.truequemagazine.com/,2006,Medio local independiente,Local independent media,"Impreso: -5,000. Web 75","Print: -5,000. Web 75.",Publicidad,Advertising,1-5,Semanal,Weekly,https://www.facebook.com/eltrueque/,,,,
Kansas,Kansas,Dos Mundos/Two Worlds,Dos Mundos/Two Worlds,Kansas City,Kansas City,1701 South 55th St.,66106,39.069427,-94.705139,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://dosmundos.com,1981,,,,,,,,,,https://www.facebook.com/dosmundosnews,https://twitter.com/2mun2news,,,
Kansas,Kansas,KDCU Univisión 46,KDCU Univisión 46,Wichita,Wichita,2815 E. 37th Street North,67219,37.751015,-97.3036,TV,TV,Español,Spanish,,,https://noticiasya.com/kansas/,,Entravision,Entravision,,,,,,,,https://www.facebook.com/NoticiasUnivisionKansas?_rdc=1&_rdr,https://twitter.com/NoticiasKS,,,
Kansas,Kansas,Planeta Venus,Planeta Venus,Wichita,Wichita,P.O. Box 781742,67278,37.69030477,-97.34000003,Radio,Radio,Español,Spanish,"Noticias, Arte y Cultura","News, Arts and Culture",https://www.planetavenus.online/,2014,Medio local independiente,Local independent outlet,Impreso: -5.000. Radio: 300-400. Boletín: 200,Print: -5.000. Radio: 300-400. Newsletter: 200,"Publicidad, Donations/grants","Advertising, Donaciones/Subvenciones",1-5,Mensual,Monthly,https://www.facebook.com/PlanetaVenus.online,,,,
Kansas,Kansas,Mi Raza Magazine,Mi Raza Magazine,Lenexa,Lenexa,11944 W 95th St.,66215,38.958168,-94.724389,Revista,Magazine,Español,Spanish,"Noticias, Arte y Cultura, Entretenimiento, Deportes","News, Arts and Culture, Entertainment, Sports",https://www.mirazamagazine.com/,2003,Medio local independiente,Local independent media,"Impreso: 10,000 - 19,999","Print: 10,000 - 19,999",Publicidad,Advertising,1-5,Bisemanal,Bi-weekly,https://www.facebook.com/MiRazaKC/,https://twitter.com/juliangmr,,https://www.youtube.com/user/mirazaTV,https://www.linkedin.com/in/juliangomezmiraza/
